sid,place,timestamp,param,value
s5,20012 KA Hamm ,28.03.23 03:35,q,48.5
s11,10103 Bahnstraße ,28.03.23 03:35,q,14.4
s1,20001 Fusternberg ,28.03.23 03:40,w,343
s2,20004 Dorsten ,28.03.23 03:40,w,622
s3,28085 Haltern ,28.03.23 03:40,w,325
s4,20008 Lünen ,28.03.23 03:40,w,339
s5,20012 KA Hamm ,28.03.23 03:40,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:40,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:40,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:40,w,179
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:40,w,97
s11,10103 Bahnstraße ,28.03.23 03:40,w,255
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:40,w,102
s2,20004 Dorsten ,28.03.23 03:40,q,95.1
s11,10103 Bahnstraße ,28.03.23 03:40,q,14.4
s1,20001 Fusternberg ,28.03.23 03:45,w,343
s2,20004 Dorsten ,28.03.23 03:45,w,622
s3,28085 Haltern ,28.03.23 03:45,w,325
s4,20008 Lünen ,28.03.23 03:45,w,339
s5,20012 KA Hamm ,28.03.23 03:45,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:45,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:45,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:45,w,178
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:45,w,97
s11,10103 Bahnstraße ,28.03.23 03:45,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:45,w,102
s2,20004 Dorsten ,28.03.23 03:45,q,95.1
s5,20012 KA Hamm ,28.03.23 03:45,q,49.1
s11,10103 Bahnstraße ,28.03.23 03:45,q,14.4
s1,20001 Fusternberg ,28.03.23 03:50,w,343
s2,20004 Dorsten ,28.03.23 03:50,w,622
s3,28085 Haltern ,28.03.23 03:50,w,325
s4,20008 Lünen ,28.03.23 03:50,w,338
s5,20012 KA Hamm ,28.03.23 03:50,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:50,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:50,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:50,w,178
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:50,w,97
s11,10103 Bahnstraße ,28.03.23 03:50,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:50,w,102
s2,20004 Dorsten ,28.03.23 03:50,q,94.2
s5,20012 KA Hamm ,28.03.23 03:50,q,49.6
s11,10103 Bahnstraße ,28.03.23 03:50,q,14.3
s1,20001 Fusternberg ,28.03.23 03:55,w,343
s2,20004 Dorsten ,28.03.23 03:55,w,622
s3,28085 Haltern ,28.03.23 03:55,w,325
s4,20008 Lünen ,28.03.23 03:55,w,338
s5,20012 KA Hamm ,28.03.23 03:55,w,350
s6,"10026 Mengede, A45 ",28.03.23 03:55,w,153
s7,10008 Bottrop-Süd ,28.03.23 03:55,w,139
s8,"10101 Bottrop, Essener Straße ",28.03.23 03:55,w,178
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 03:55,w,97
s11,10103 Bahnstraße ,28.03.23 03:55,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 03:55,w,102
s2,20004 Dorsten ,28.03.23 03:55,q,94.2
s5,20012 KA Hamm ,28.03.23 03:55,q,50.7
s11,10103 Bahnstraße ,28.03.23 03:55,q,14.2
s1,20001 Fusternberg ,28.03.23 04:00,w,343
s2,20004 Dorsten ,28.03.23 04:00,w,622
s3,28085 Haltern ,28.03.23 04:00,w,325
s4,20008 Lünen ,28.03.23 04:00,w,338
s5,20012 KA Hamm ,28.03.23 04:00,w,350
s6,"10026 Mengede, A45 ",28.03.23 04:00,w,153
s7,10008 Bottrop-Süd ,28.03.23 04:00,w,138
s8,"10101 Bottrop, Essener Straße ",28.03.23 04:00,w,178
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 04:00,w,97
s11,10103 Bahnstraße ,28.03.23 04:00,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 04:00,w,102
s2,20004 Dorsten ,28.03.23 04:00,q,94.2
s5,20012 KA Hamm ,28.03.23 04:00,q,51.3
s11,10103 Bahnstraße ,28.03.23 04:00,q,14.6
s1,20001 Fusternberg ,28.03.23 04:05,w,342
s2,20004 Dorsten ,28.03.23 04:05,w,622
s3,28085 Haltern ,28.03.23 04:05,w,324
s4,20008 Lünen ,28.03.23 04:05,w,338
s5,20012 KA Hamm ,28.03.23 04:05,w,350
s6,"10026 Mengede, A45 ",28.03.23 04:05,w,152
s7,10008 Bottrop-Süd ,28.03.23 04:05,w,138
s8,"10101 Bottrop, Essener Straße ",28.03.23 04:05,w,177
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 04:05,w,97
s11,10103 Bahnstraße ,28.03.23 04:05,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 04:05,w,102
s5,20012 KA Hamm ,28.03.23 04:05,q,51.8
s11,10103 Bahnstraße ,28.03.23 04:05,q,14.3
s1,20001 Fusternberg ,28.03.23 04:10,w,342
s2,20004 Dorsten ,28.03.23 04:10,w,622
s3,28085 Haltern ,28.03.23 04:10,w,325
s4,20008 Lünen ,28.03.23 04:10,w,338
s5,20012 KA Hamm ,28.03.23 04:10,w,350
s6,"10026 Mengede, A45 ",28.03.23 04:10,w,152
s7,10008 Bottrop-Süd ,28.03.23 04:10,w,138
s8,"10101 Bottrop, Essener Straße ",28.03.23 04:10,w,177
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 04:10,w,97
s11,10103 Bahnstraße ,28.03.23 04:10,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 04:10,w,102
s5,20012 KA Hamm ,28.03.23 04:10,q,51.8
s11,10103 Bahnstraße ,28.03.23 04:10,q,14.3
s1,20001 Fusternberg ,28.03.23 04:15,w,342
s2,20004 Dorsten ,28.03.23 04:15,w,622
s3,28085 Haltern ,28.03.23 04:15,w,324
s4,20008 Lünen ,28.03.23 04:15,w,338
s5,20012 KA Hamm ,28.03.23 04:15,w,350
s6,"10026 Mengede, A45 ",28.03.23 04:15,w,152
s7,10008 Bottrop-Süd ,28.03.23 04:15,w,138
s8,"10101 Bottrop, Essener Straße ",28.03.23 04:15,w,177
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 04:15,w,96
s11,10103 Bahnstraße ,28.03.23 04:15,w,254
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 04:15,w,101
s5,20012 KA Hamm ,28.03.23 04:15,q,51.8
s11,10103 Bahnstraße ,28.03.23 04:15,q,14.3
s1,20001 Fusternberg ,28.03.23 04:20,w,343
s2,20004 Dorsten ,28.03.23 04:20,w,622
